commentText	importantComment
Love your work buddy	0
Thank you so much for this course. It made me learn so much and prepare well for the final exam	0
Sir....first i want to say u that ...great job and easily understand your explaination....But sir i m diploma holder of ece branch so sir please made a spcial video for best digital electronic question  for inter vie...plssssss sir..	0
Can you please make lecture on CAMP algorithm	1
Are there videos on microcontroller ?	1
"i'd like to learn electronics, which one first that i should learn, digital electronics or analog electronics?thank you btw, your channel really really help me. keep it up dude!"	0
hi	0
thank you sir.i passed my exam just becoz of ur lectures thanks a lot............	0
"Sir me and all of my classmates are thankfull to u for such a good lecture series ,because of your lectures only we were able to clear our concepts in de."	0
"please show me how to design a digital chip,that is able to make some decisions and display output using gates"	1
Great job yrr i love your videos u teach awsm	0
solve answer convert the decimal equalent to binary number (123.786)base 10	0
suprbb explanation	0
Your videos are so help full sir. Thanks a lot.	0
Sir make video for gate preparation for CSE branch I'm student of 2nd year pls	1
Plz provide lectures on SAP 1	1
please add videos for state machines and logic families.. thank you...	1
please add videos on microprocessors.	1
a>o should have upward parabola.	0
NESOOO we need computer architecture :(	1
"Thank you so much for such a wonderful Course,  Content and Delivery is amazing!  Just one request, Can you upload videos based on Memories_?"	1
Neso academy is the best of all	0
make video for  logic families	1
"Thank you so much for tutorials that helped me and alot of people..But I want u to upload more for advance digital..Like how to make flip-flop pr any other circuit using mux,encoder decoder ,counters or simple gates...Hope u'll see my comment and work on it.(it'll b ver helpful for people like me)"	1
i love it! how do I download the whole playlist? please help. thanks	0
Thank u so much sir..Now i am feeling very well after watching these lectures....U r great sir..	0
hgchgvfhgf	0
PRO TIP:Watch all vids at 1.5x or 2x speed	0
Nice explain sir	0
"SIR watched yr video on WHAT IS A SIGNAL As always i liked yr above video and understood which one we call a signal and which one not..To tell frankly i did not know/realise that if a current is not changing with respect to time, then it is not called a signal.Yr example of an equation explained there in clearly helps the above concept..  While Analogue signal is clear to me, i will await to understand what a DIGITAL SIGNAL is.Thanking u Vatsa"	0
Letter are not clearly visible so please corrected next upload	0
sir plss make video on adc and dac	1
"Dear Sir, Can you please make lectures on linear integrated circuits & op amps. That subject is very much needed by the ECE students."	1
Nice	0
"Ciircuitrix Junior Event Going On! A IIIT Delhi Exclusive!!! Free Registration: bit.ly/ESYACJ Start time: Between 4:00 PM and 7:00 PM, as per the convenience of the participantTest duration: 90 minutes Test link: http://hck.re/cj19"	0
"Gd evng sir,i followed you since 2016.I wanna tell u one thing: I'm too weak in my core subject specially 'Principle of communication'.I'm still waiting communication videos.Please sir upload it."	1
Sir kya aapke lecture competition k liye sahi hai	0
sir ur videos are very good and up to GATE and IES level. i just want to know that will i need to refer any more  books for DE for IES exam or these videos are sufficient	0
please make the video on opams.. by the way nice video.. thanks	1
Dear Neso academy.. your lectures have benefited me a lot.. Thank you very much.. kindly send the link of your op amp based lectures	1
thnx a lot sir thnxxx now i dont need any acadmy for clear any comptitive eaxm...	0
"Sir , please  make video on microprocessor & microcontroller . Your video is more helpful for us."	1
"sir, great content and root concepts"	0
i passed digital electronics by following your videos .. thanks a lot :)	0
"hey, this is kind of a weird request, but could you please tell me where you got that intro music from? I recognize the tune, but I don't know what it was and it really annoys me that I don't"	0
Is this course covers the complete gate syllabus	0
can you please help in solving The 10's complement of (715)8	1
i downloaded all Digital Electronics video. but now very difficult to find order of videos. please put the number in front of the title.	0
This series is one of the best of its kind. A lot better and easier to understand than that of my prof	0
Infinite amount of respect to you SIR!!	0
Sir your videos are really very helpful for us .It really clears our concept about the matter.But it is an earnest request if you could start uploading videos of Communication Systems as well	1
"Hello Neso Academy, your modules on Digital Electronics helped immensely in my studying for my 'Digital Systems I' class at my university. I not only was able to secure an A+ in the class but I was also able to understand the content thoroughly. Thank you for being there all the way. If you have any videos on Elementary Circuit Analysis (topics like Thevenin and Norton equivalent circuits), please do let me know :)"	1
Sir can you please tell me what are the tools you used for your presentation. Your videos are just awesome also I admire your presentation skill... Respect from me. Thanks	0
sir dld  exercise problem lecture mil sagta hai	0
"sir, thank you so much for your Videos on Digital Electronics.but please i want to talk with you on face book"	0
Sir can you give me your whatsapp number that's I can clear my doubts personally	0
I get so many profit from your video	0
Sir you have a very good representation and good explanation	0
"The last exposure I had to electronics was in the mid 80's and lot has changed since then, so is there a prerequisite to this course."	0
Thank u very much sir aap ne  mujhe pass karwadiya	0
thnku very much sir we all students of csjm university thanking you	0
iit roorkee is watching it	0
"sir,we are unable to access HW pbms plzz set URL."	0
"sir please na ,you upload some videos  on seq.circuit based questions please"	1
Thank you so much neso academy ...... Plz upload microprocessors lecture if possible.....	1
This is really nice. I was just looking around and came upon this video. I like the way you teach it is very easy to understand and follow. I checked out your web page and was again very happy with what I seen. the web site is also easy to find your way around and the fact you are teaching free is such a breath of fresh air. Great Job!!  and I will offer your site to people I know..	0
"Sir, could you please upload lecture on ANALOG COMMUNICATION???"	1
sir i want verilog and vlsi videos	1
Sir i want to heartly thank you for your commenceble effort just because of you i am too happy today to score good pointer in my engineering course	0
And thanks u for signal and system upto Laplace i am able to solve 80 to 90 percent question of previous year and coaching postal  booklet . Thanks for ur support	0
